Date,Open,High,Low,Close,Volume
2022-02-17 05:00:00,12.39,12.7,11.7,11.77,151385399.0
2022-02-18 05:00:00,11.92,12.01,10.57,11.02,137808130.0
2022-02-22 05:00:00,10.7,11.185,10.3,10.48,104501495.0
2022-02-23 05:00:00,10.83,11.26,10.4,10.43,93868953.0
2022-02-24 05:00:00,9.75,11.87,9.74,11.83,118793047.0
2022-02-25 05:00:00,11.59,11.89,11.0,11.47,75433711.0
2022-02-28 05:00:00,11.96,12.18,11.39,11.85,75390479.0
2022-03-01 05:00:00,11.99,12.52,11.71,12.18,64864923.0
2022-03-02 05:00:00,12.21,12.21,11.42,12.06,56698280.0
2022-03-03 05:00:00,12.01,12.055,11.235,11.34,46171972.0
2022-03-04 05:00:00,11.7,11.77,10.74,10.96,43631139.0
2022-03-07 05:00:00,11.43,11.75,11.1,11.11,63070581.0
2022-03-08 05:00:00,10.93,11.39,10.719,11.04,49279564.0
2022-03-09 05:00:00,11.41,12.02,11.27,11.65,43591369.0
2022-03-10 05:00:00,11.38,11.97,11.32,11.87,52295390.0
2022-03-11 05:00:00,11.86,12.005,11.37,11.39,37817372.0
2022-03-14 04:00:00,11.17,11.41,10.41,10.5,49762551.0
2022-03-15 04:00:00,10.47,10.85,10.27,10.77,40451175.0
2022-03-16 04:00:00,10.95,11.82,10.9399,11.79,62746614.0
2022-03-17 04:00:00,11.72,12.37,11.66,12.32,43948861.0
2022-03-18 04:00:00,12.28,13.02,12.215,12.82,56325472.0
2022-03-21 04:00:00,12.72,13.05,12.42,12.59,39410854.0
2022-03-22 04:00:00,12.52,13.48,12.52,13.27,46210656.0
2022-03-23 04:00:00,13.16,13.55,13.02,13.18,33699354.0
2022-03-24 04:00:00,13.25,13.42,12.83,13.39,29535255.0
2022-03-25 04:00:00,13.36,13.395,12.71,12.97,24796929.0
2022-03-28 04:00:00,13.01,13.44,12.855,13.42,27151982.0
2022-03-29 04:00:00,13.65,14.28,13.35,14.2,46433721.0
2022-03-30 04:00:00,14.04,14.36,13.74,13.88,32163994.0
2022-03-31 04:00:00,13.9,14.06,13.63,13.73,22839957.0
2022-04-01 04:00:00,13.77,14.065,13.5,13.83,23831607.0
2022-04-04 04:00:00,14.03,14.66,14.02,14.63,40124782.0
2022-04-05 04:00:00,14.61,14.86,13.795,13.89,37677310.0
2022-04-06 04:00:00,13.52,13.54,12.85,13.0,40647687.0
2022-04-07 04:00:00,12.95,13.34,12.48,12.84,34727408.0
2022-04-08 04:00:00,12.7,13.05,12.57,12.7,24962502.0
2022-04-11 04:00:00,12.45,12.82,12.13,12.66,26095830.0
2022-04-12 04:00:00,12.88,13.2,12.425,12.46,26226526.0
2022-04-13 04:00:00,12.35,12.94,12.2311,12.9,21152882.0
2022-04-14 04:00:00,12.92,12.92,12.41,12.42,23284123.0
2022-04-18 04:00:00,12.35,12.415,11.88,12.15,25395600.0
