Date,Open,High,Low,Close,Volume
2024-01-02 05:00:00,16.95,16.95,16.5,16.58,41626684.0
2024-01-03 05:00:00,16.12,16.38,16.01,16.09,46865204.0
2024-01-04 05:00:00,16.05,16.58,15.95,16.25,39937698.0
2024-01-05 05:00:00,15.7,16.1279,15.664,15.98,57662213.0
2024-01-08 05:00:00,16.22,16.89,16.14,16.67,49060953.0
2024-01-09 05:00:00,16.51,16.63,16.28,16.39,35794473.0
2024-01-10 05:00:00,16.5,17.0299,16.4,16.79,41254398.0
2024-01-11 05:00:00,16.81,16.93,16.17,16.68,39552365.0
2024-01-12 05:00:00,16.68,17.06,16.62,16.76,33952550.0
2024-01-16 05:00:00,16.59,16.74,16.29,16.53,32601260.0
2024-01-17 05:00:00,16.26,16.41,16.05,16.39,30832775.0
2024-01-18 05:00:00,16.75,16.81,16.1,16.4,35239739.0
2024-01-19 05:00:00,16.57,16.78,16.15,16.78,40690625.0
2024-01-22 05:00:00,17.46,18.3503,17.43,17.6,85573913.0
2024-01-23 05:00:00,17.64,17.73,17.2,17.33,37794300.0
2024-01-24 05:00:00,17.51,17.65,16.735,16.75,42710696.0
2024-01-25 05:00:00,16.92,17.0,16.31,16.46,44589040.0
2024-01-26 05:00:00,16.4,16.75,16.34,16.35,28644156.0
2024-01-29 05:00:00,16.45,17.11,16.43,17.09,35987779.0
2024-01-30 05:00:00,17.04,17.24,16.66,16.74,36388182.0
2024-01-31 05:00:00,16.41,16.76,16.07,16.09,43582546.0
2024-02-01 05:00:00,16.21,16.4868,16.03,16.33,40454381.0
2024-02-02 05:00:00,16.34,17.02,16.145,17.02,57532675.0
2024-02-05 05:00:00,17.56,17.87,16.48,16.72,167698349.0
2024-02-06 05:00:00,20.3,22.18,19.76,21.87,421220485.0
2024-02-07 05:00:00,21.6,23.87,21.38,23.6,254911069.0
2024-02-08 05:00:00,23.96,25.06,23.32,24.51,212671149.0
2024-02-09 05:00:00,25.04,25.11,23.57,24.38,149061975.0
2024-02-12 05:00:00,23.91,25.525,23.82,25.05,108173046.0
2024-02-13 05:00:00,23.53,24.66,23.31,24.01,102293322.0
2024-02-14 05:00:00,24.15,25.5,23.755,25.19,97227926.0
2024-02-15 05:00:00,25.04,25.46,24.71,25.41,70544321.0
2024-02-16 05:00:00,24.96,25.495,24.39,24.44,65498227.0
2024-02-20 05:00:00,23.84,24.0,22.715,23.4,93374349.0
2024-02-21 05:00:00,22.3,22.9299,22.29,22.74,60411461.0
2024-02-22 05:00:00,23.77,23.95,23.05,23.59,64382647.0
2024-02-23 05:00:00,23.53,24.07,22.82,22.97,48840765.0
2024-02-26 05:00:00,23.03,23.88,22.94,23.56,46499481.0
2024-02-27 05:00:00,23.76,24.62,23.72,24.53,64967421.0
2024-02-28 05:00:00,24.52,24.84,24.245,24.42,47313982.0
2024-02-29 05:00:00,24.81,25.2928,24.36,25.08,62753300.0
2024-03-01 05:00:00,25.3,25.69,24.535,24.93,64794407.0
2024-03-04 05:00:00,24.4,24.58,23.53,24.04,64216031.0
2024-03-05 05:00:00,23.96,24.4092,23.43,23.81,49542272.0
2024-03-06 05:00:00,25.75,26.75,24.53,26.16,207386942.0
2024-03-07 05:00:00,27.01,27.5,26.38,26.46,117519319.0
2024-03-08 05:00:00,27.19,27.28,25.81,26.04,84256124.0
2024-03-11 04:00:00,25.89,26.83,25.29,25.35,60829269.0
2024-03-12 04:00:00,25.57,25.64,24.35,24.7,75202613.0
2024-03-13 04:00:00,24.7,25.44,24.6,25.0,59712992.0
2024-03-14 04:00:00,24.83,24.97,24.14,24.43,49214784.0
2024-03-15 04:00:00,23.85,24.1,23.42,23.49,61420999.0
2024-03-18 04:00:00,23.77,24.18,23.32,24.0,44078313.0
2024-03-19 04:00:00,23.5,23.83,22.92,23.8,43247249.0
2024-03-20 04:00:00,23.77,24.65,23.67,24.57,39673774.0
2024-03-21 04:00:00,25.3,25.33,24.44,24.49,37099608.0
2024-03-22 04:00:00,24.2,24.475,24.02,24.18,25453029.0
2024-03-25 04:00:00,24.12,24.62,24.05,24.51,29255903.0
2024-03-26 04:00:00,24.76,25.47,24.4702,24.89,43610464.0
2024-03-27 04:00:00,25.0,25.48,24.26,24.51,38600086.0
2024-03-28 04:00:00,24.17,24.28,22.94,23.01,70008165.0
2024-04-01 04:00:00,22.98,23.21,22.4,22.86,41000029.0
2024-04-02 04:00:00,22.0,22.79,21.72,22.72,39770573.0
2024-04-03 04:00:00,22.44,23.01,22.38,22.7,30357412.0
2024-04-04 04:00:00,23.82,24.1,22.4,22.48,64995295.0
2024-04-05 04:00:00,22.42,23.32,22.3065,22.96,38716824.0
